,source,target,value,real_value
0,0,24,11397,11397
1,0,25,982,982
2,1,24,2830,2830
3,1,25,34,34
4,2,24,729,729
5,2,25,919,919
6,3,24,5057,5057
7,3,25,142,142
8,4,24,512,512
9,4,25,351,351
10,5,24,548,548
11,5,25,118,118
12,6,24,1652,1652
13,6,25,313,313
14,7,24,666,666
15,7,25,8,-8
16,8,24,319,319
17,8,25,16,16
18,9,24,483,483
19,9,25,1113,1113
20,10,24,193,193
21,10,25,26,26
22,11,24,100,100
23,11,25,37,37
24,12,24,4,4
25,12,25,512,512
26,13,24,404,404
27,13,25,1,1
28,14,24,259,259
29,14,25,0,0
30,15,24,392,392
31,15,25,15,-15
32,16,24,32,32
33,16,25,3,3
34,17,24,8,8
35,17,25,23,23
36,24,18,14955,14955
37,25,18,1935,1935
38,24,19,6117,6117
39,25,19,610,610
40,24,20,2636,2636
41,25,20,337,321
42,24,21,776,776
43,25,21,1176,1176
44,24,22,667,667
45,25,22,514,514
46,24,23,432,432
47,25,23,41,10
